,transportation_expense,service_time,years_until_retirement,disciplinary_failure,number_of_children,number_of_pets,body_mass_index,absenteeism_time_in_hours,higher_education,commute_cost_per_km,risk_behavior,month_January,month_February,month_March,month_April,month_May,month_June,month_July,month_August,month_September,month_October,month_November,month_December,is_mid_week,is_near_weekend,is_weekend,reason_Acute Disease,reason_Chronic Disease,reason_Maternity/Pregnancy-Related,reason_Medical Care,reason_Mental Disease,reason_Unjustified absence,reason_Unspecified
0,289.0,13.0,32.0,0.0,2.0,1.0,30.0,4.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,117.99999999999999,18.0,15.0,1.0,1.0,0.0,31.0,0.0,0.0,9.076923076923077,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,179.0,18.0,27.0,0.0,0.0,0.0,31.0,2.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,279.0,14.0,26.0,0.0,2.0,0.0,24.0,4.0,0.0,30.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,289.0,13.0,32.0,0.0,2.0,1.0,30.0,2.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5,179.0,18.0,27.0,0.0,0.0,0.0,31.0,2.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,361.0,3.0,37.0,0.0,1.0,4.0,27.0,8.0,0.0,6.9423076923076925,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,260.0,11.0,29.0,0.0,4.0,0.0,23.0,4.0,0.0,5.2,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,155.0,14.0,31.0,0.0,2.0,0.0,25.0,30.0,0.0,12.916666666666666,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9,235.0,14.0,28.0,0.0,1.0,1.0,29.0,8.0,1.0,21.363636363636363,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10,260.0,11.0,29.0,0.0,4.0,0.0,23.0,8.0,0.0,5.2,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
11,260.0,11.0,29.0,0.0,4.0,0.0,23.0,8.0,0.0,5.2,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12,260.0,11.0,29.0,0.0,4.0,0.0,23.0,8.0,0.0,5.2,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
14,260.0,11.0,29.0,0.0,4.0,0.0,23.0,8.0,0.0,5.2,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
15,179.0,18.0,27.0,0.0,0.0,0.0,31.0,1.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
16,179.0,18.0,27.0,0.0,0.0,0.0,31.0,1.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
17,179.0,18.0,27.0,0.0,0.0,0.0,31.0,4.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,246.0,16.0,24.0,0.0,0.0,0.0,23.0,8.0,0.0,9.84,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
19,179.0,18.0,27.0,0.0,0.0,0.0,31.0,2.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20,179.0,18.0,27.0,0.0,0.0,0.0,31.0,8.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
21,189.0,13.0,32.0,0.0,2.0,2.0,25.0,8.0,0.0,6.517241379310345,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
22,248.0,14.0,18.0,0.0,2.0,1.0,32.0,2.0,0.0,9.92,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23,330.0,4.0,37.0,0.0,0.0,0.0,25.0,8.0,1.0,20.625,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
24,179.0,18.0,27.0,0.0,0.0,0.0,31.0,1.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,361.0,3.0,5.0,0.0,1.0,4.0,27.0,30.0,0.0,6.9423076923076925,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
26,260.0,11.0,29.0,0.0,4.0,0.0,23.0,4.0,0.0,5.2,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
27,289.0,13.0,5.0,0.0,2.0,1.0,30.0,8.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
28,361.0,3.0,37.0,0.0,1.0,4.0,27.0,7.0,0.0,6.9423076923076925,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
29,361.0,3.0,37.0,0.0,1.0,4.0,27.0,7.0,0.0,6.9423076923076925,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,289.0,13.0,32.0,0.0,2.0,1.0,30.0,1.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
31,157.0,6.0,36.0,0.0,0.0,0.0,22.0,4.0,0.0,5.814814814814815,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
32,289.0,13.0,32.0,0.0,2.0,1.0,30.0,8.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
33,179.0,18.0,27.0,0.0,0.0,0.0,31.0,2.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
34,179.0,18.0,27.0,0.0,0.0,0.0,31.0,8.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
35,235.0,12.0,17.0,0.0,1.0,4.0,33.0,8.0,0.0,8.10344827586207,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
36,235.0,14.0,28.0,0.0,1.0,1.0,29.0,4.0,1.0,21.363636363636363,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
37,235.0,12.0,17.0,0.0,1.0,4.0,33.0,8.0,0.0,8.10344827586207,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
38,179.0,18.0,27.0,0.0,0.0,0.0,31.0,2.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,361.0,3.0,37.0,0.0,1.0,4.0,27.0,1.0,0.0,6.9423076923076925,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40,289.0,13.0,32.0,0.0,2.0,1.0,30.0,8.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
41,291.0,12.0,33.0,0.0,0.0,0.0,23.0,4.0,0.0,5.82,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
42,235.0,12.0,17.0,0.0,1.0,4.0,33.0,8.0,0.0,8.10344827586207,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
43,260.0,11.0,29.0,0.0,4.0,0.0,23.0,4.0,0.0,5.2,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,184.0,7.0,38.0,0.0,0.0,0.0,21.0,2.0,0.0,4.380952380952381,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
45,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,4.0,0.0,11.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
46,179.0,18.0,27.0,0.0,0.0,0.0,31.0,4.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
47,235.0,13.0,22.0,0.0,1.0,0.0,38.0,8.0,0.0,11.75,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
48,155.0,14.0,31.0,0.0,2.0,0.0,25.0,2.0,0.0,12.916666666666666,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
49,155.0,14.0,31.0,0.0,2.0,0.0,25.0,2.0,0.0,12.916666666666666,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,3.0,0.0,11.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
51,179.0,18.0,27.0,0.0,0.0,0.0,31.0,3.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
52,291.0,12.0,25.0,0.0,1.0,1.0,25.0,4.0,0.0,9.387096774193548,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
53,260.0,11.0,29.0,0.0,4.0,0.0,23.0,8.0,0.0,5.2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
54,291.0,12.0,25.0,0.0,1.0,1.0,25.0,30.0,0.0,9.387096774193548,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
55,260.0,11.0,29.0,1.0,4.0,0.0,23.0,0.0,0.0,5.2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
56,225.0,9.0,37.0,1.0,1.0,2.0,24.0,0.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
57,225.0,9.0,37.0,0.0,1.0,2.0,24.0,2.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
58,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,2.0,0.0,11.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
59,289.0,13.0,32.0,1.0,2.0,1.0,30.0,0.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
60,117.99999999999999,18.0,15.0,1.0,1.0,0.0,31.0,0.0,0.0,9.076923076923077,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
61,225.0,9.0,37.0,0.0,1.0,2.0,24.0,3.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
62,179.0,18.0,27.0,0.0,0.0,0.0,31.0,3.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
63,369.0,12.0,34.0,1.0,3.0,0.0,25.0,0.0,0.0,21.705882352941174,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
64,248.0,14.0,18.0,0.0,2.0,1.0,32.0,1.0,0.0,9.92,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
65,179.0,18.0,27.0,0.0,0.0,0.0,31.0,3.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
66,260.0,11.0,29.0,0.0,4.0,0.0,23.0,4.0,0.0,5.2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
67,179.0,18.0,27.0,0.0,0.0,0.0,31.0,3.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
68,179.0,18.0,27.0,0.0,0.0,0.0,31.0,3.0,0.0,3.5098039215686274,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
69,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,3.0,0.0,11.8,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
70,117.99999999999999,18.0,15.0,1.0,1.0,0.0,31.0,0.0,0.0,9.076923076923077,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
71,179.0,9.0,35.0,0.0,0.0,0.0,19.0,1.0,1.0,6.884615384615385,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
72,179.0,18.0,27.0,0.0,0.0,0.0,31.0,3.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
73,225.0,9.0,37.0,0.0,1.0,2.0,24.0,3.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
75,225.0,9.0,37.0,0.0,1.0,2.0,24.0,2.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
76,248.0,14.0,18.0,0.0,2.0,1.0,32.0,2.0,0.0,9.92,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
77,291.0,12.0,25.0,0.0,1.0,1.0,25.0,5.0,0.0,9.387096774193548,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
78,179.0,18.0,27.0,0.0,0.0,0.0,31.0,8.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
79,225.0,9.0,37.0,0.0,1.0,2.0,24.0,3.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
80,260.0,11.0,29.0,0.0,4.0,0.0,23.0,16.0,0.0,5.2,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
81,260.0,11.0,29.0,0.0,4.0,0.0,23.0,16.0,0.0,5.2,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
82,291.0,12.0,25.0,0.0,1.0,1.0,25.0,8.0,0.0,9.387096774193548,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
83,291.0,12.0,25.0,0.0,1.0,1.0,25.0,8.0,0.0,9.387096774193548,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
84,225.0,9.0,5.0,0.0,1.0,2.0,24.0,2.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
85,289.0,13.0,32.0,0.0,2.0,1.0,30.0,8.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
86,361.0,3.0,37.0,0.0,1.0,4.0,27.0,1.0,0.0,6.9423076923076925,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
87,260.0,11.0,29.0,0.0,4.0,0.0,23.0,3.0,0.0,5.2,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
88,179.0,18.0,27.0,0.0,0.0,0.0,31.0,1.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
89,225.0,9.0,37.0,0.0,1.0,2.0,24.0,1.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
90,179.0,18.0,27.0,0.0,0.0,0.0,31.0,8.0,0.0,3.5098039215686274,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
91,179.0,17.0,25.0,0.0,2.0,0.0,22.0,8.0,1.0,8.136363636363637,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
92,291.0,12.0,5.0,0.0,1.0,1.0,25.0,5.0,0.0,9.387096774193548,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
93,155.0,14.0,31.0,0.0,2.0,0.0,25.0,30.0,0.0,12.916666666666666,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
94,189.0,13.0,32.0,0.0,2.0,2.0,25.0,8.0,0.0,6.517241379310345,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
95,291.0,13.0,25.0,0.0,1.0,1.0,25.0,30.0,0.0,9.387096774193548,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
96,225.0,9.0,37.0,0.0,1.0,2.0,24.0,1.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
97,155.0,14.0,31.0,0.0,2.0,0.0,25.0,8.0,0.0,12.916666666666666,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
98,225.0,9.0,37.0,0.0,1.0,2.0,24.0,3.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
99,179.0,17.0,25.0,0.0,2.0,0.0,22.0,8.0,1.0,8.136363636363637,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
100,225.0,9.0,37.0,0.0,1.0,2.0,24.0,3.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
101,260.0,11.0,29.0,0.0,4.0,0.0,23.0,4.0,0.0,5.2,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
102,248.0,14.0,18.0,0.0,2.0,1.0,32.0,1.0,0.0,9.92,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
103,225.0,9.0,37.0,0.0,1.0,2.0,24.0,3.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
104,289.0,13.0,32.0,0.0,2.0,1.0,30.0,24.0,0.0,8.027777777777779,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
105,291.0,12.0,25.0,0.0,1.0,1.0,25.0,3.0,0.0,9.387096774193548,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
106,248.0,14.0,18.0,0.0,2.0,1.0,32.0,1.0,0.0,9.92,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
107,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,30.0,0.0,11.8,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
108,117.99999999999999,18.0,15.0,0.0,1.0,0.0,31.0,2.0,0.0,9.076923076923077,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
109,235.0,14.0,28.0,0.0,1.0,1.0,29.0,8.0,1.0,21.363636363636363,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
110,225.0,9.0,37.0,0.0,1.0,2.0,24.0,2.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
111,260.0,11.0,29.0,0.0,4.0,0.0,23.0,8.0,0.0,5.2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
112,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,30.0,0.0,11.8,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
113,361.0,3.0,37.0,0.0,1.0,4.0,27.0,8.0,0.0,6.9423076923076925,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
114,225.0,9.0,37.0,0.0,1.0,2.0,24.0,3.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
115,260.0,11.0,29.0,0.0,4.0,0.0,23.0,3.0,0.0,5.2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
116,225.0,9.0,37.0,0.0,1.0,2.0,24.0,2.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
118,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,2.0,0.0,11.8,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
119,246.0,16.0,24.0,0.0,0.0,0.0,23.0,8.0,0.0,9.84,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
120,225.0,9.0,37.0,0.0,1.0,2.0,24.0,2.0,0.0,8.653846153846153,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
121,225.0,9.0,37.0,0.0,1.0,2.0,24.0,1.0,0.0,8.653846153846153,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
122,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,1.0,0.0,11.8,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
123,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,1.0,0.0,11.8,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
124,117.99999999999999,10.0,28.0,0.0,0.0,0.0,28.0,1.0,0.0,11.8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
125,155.0,14.0,31.0,0.0,2.0,0.0,25.0,8.0,0.0,12.916666666666666,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
126,225.0,9.0,37.0,0.0,1.0,2.0,24.0,2.0,0.0,8.653846153846153,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
127,184.0,7.0,38.0,0.0,0.0,0.0,21.0,2.0,0.0,4.380952380952381,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
